TIMESTAMP	      PLATE   STATUS CONF    OCR-MODEL-SELECTED
2026-02-26 04:05:45, ANH4981, CLEAN, 0.78, cct-xs-relu-v1-global-model
2026-02-26 04:05:51, ANH4981, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-02-26 04:05:52, ANH4981, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-02-26 04:05:56, ANH4981, CLEAN, 0.78, cct-xs-relu-v1-global-model
2026-02-26 04:05:58, ANH4981, CLEAN, 0.77, cct-xs-relu-v1-global-model
2026-02-26 04:06:02, IBH9920, CLEAN, 0.68, cct-xs-relu-v1-global-model
2026-02-26 04:06:03, IBH9920, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-02-26 04:06:33, IEE2832, CLEAN, 0.47, cct-xs-relu-v1-global-model
2026-02-26 04:06:43, IPM5007, STOLEN, 0.61, cct-xs-relu-v1-global-model
2026-02-26 04:06:45, IPM5007, STOLEN, 0.67, cct-xs-relu-v1-global-model
2026-02-26 04:26:20, IPM5007, STOLEN, 0.64, cct-xs-relu-v1-global-model
2026-02-26 04:26:21, IPM5002, CLEAN, 0.65, cct-xs-relu-v1-global-model
2026-02-26 04:26:32, IPM9007, CLEAN, 0.59, cct-xs-relu-v1-global-model
2026-02-26 04:26:36, IPM5007, STOLEN, 0.62, cct-xs-relu-v1-global-model
2026-02-26 04:26:37, IPM5007, STOLEN, 0.62, cct-xs-relu-v1-global-model
2026-02-26 04:26:41, ANH4981, CLEAN, 0.74, cct-xs-relu-v1-global-model
2026-02-26 04:26:55, IBH9920, CLEAN, 0.50, cct-xs-relu-v1-global-model
2026-02-26 04:26:56, IBH9920, CLEAN, 0.63, cct-xs-relu-v1-global-model
2026-02-26 04:36:08, ANH4981, CLEAN, 0.72, cct-xs-relu-v1-global-model
2026-02-26 04:36:09, ANH4981, CLEAN, 0.72, cct-xs-relu-v1-global-model
2026-02-26 04:36:10, ANH4981, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-02-26 04:36:12, ANH4981, CLEAN, 0.72, cct-xs-relu-v1-global-model
2026-02-26 04:36:15, IBH9920, CLEAN, 0.62, cct-xs-relu-v1-global-model
2026-02-26 04:36:16, IBH9920, CLEAN, 0.56, cct-xs-relu-v1-global-model
2026-02-26 04:36:17, IBH9920, CLEAN, 0.51, cct-xs-relu-v1-global-model
2026-02-26 04:36:36, NEE2832, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-02-26 04:36:37, IEE2832, CLEAN, 0.77, cct-xs-relu-v1-global-model
2026-02-27 17:15:15, ANH4981, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-02-27 17:15:16, ANH4981, CLEAN, 0.73, cct-xs-relu-v1-global-model
2026-02-27 17:15:22, IBH9920, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-02-27 17:15:29, IBH9920, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-02-27 17:15:41, PMM900, CLEAN, 0.63, cct-xs-relu-v1-global-model
2026-02-27 17:15:44, IPM5007, STOLEN, 0.64, cct-xs-relu-v1-global-model
2026-02-27 17:15:54, ANH4922, CLEAN, 0.71, cct-xs-relu-v1-global-model
2026-02-27 17:15:55, ANH4981, CLEAN, 0.77, cct-xs-relu-v1-global-model
2026-02-27 17:16:04, KNA486, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-02-27 17:16:06, KNA486, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-02-27 17:16:07, KNA486, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-02-27 17:16:24, KNA486, STOLEN, 0.83, cct-xs-relu-v1-global-model
2026-02-27 17:16:26, KNA4486, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-02-27 17:16:38, IEE2832, CLEAN, 0.77, cct-xs-relu-v1-global-model
2026-02-27 17:16:39, IEE2832, CLEAN, 0.79, cct-xs-relu-v1-global-model
2026-02-27 17:38:46, IPM5007, STOLEN, 0.67, cct-xs-relu-v1-global-model
2026-02-27 17:38:47, IPM5007, STOLEN, 0.65, cct-xs-relu-v1-global-model
2026-02-27 17:38:56, ANH4981, CLEAN, 0.74, cct-xs-relu-v1-global-model
2026-02-27 17:38:57, ANH4981, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-02-27 17:39:01, EAA4866, CLEAN, 0.56, cct-xs-relu-v1-global-model
2026-02-27 17:39:14, KNA486, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-02-27 17:39:15, KNA486, CLEAN, 0.79, cct-xs-relu-v1-global-model
2026-02-27 17:39:16, KNA486, CLEAN, 0.83, cct-xs-relu-v1-global-model
2026-02-27 17:39:17, KNA486, CLEAN, 0.83, cct-xs-relu-v1-global-model
2026-02-27 17:39:47, KNA486, WANTED, 0.79, cct-xs-relu-v1-global-model
2026-02-27 17:39:48, KNA486, WANTED, 0.78, cct-xs-relu-v1-global-model
2026-02-27 17:40:07, IPM5007, STOLEN, 0.67, cct-xs-relu-v1-global-model
2026-02-27 17:40:08, IPM5007, STOLEN, 0.67, cct-xs-relu-v1-global-model
2026-03-01 20:38:09, ANH4981, CLEAN, 0.78, european-plates-mobile-vit-v2-model
2026-03-01 20:38:10, ANH4981, CLEAN, 0.78, european-plates-mobile-vit-v2-model
2026-03-01 20:42:29, ANH4981, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-03-01 20:42:41, TPM5007, CLEAN, 0.46, cct-xs-relu-v1-global-model
2026-03-01 20:42:50, IBH9920, CLEAN, 0.66, cct-xs-relu-v1-global-model
2026-03-01 20:42:56, KNA486, WANTED, 0.79, cct-xs-relu-v1-global-model
2026-03-01 20:42:57, KNA486, WANTED, 0.79, cct-xs-relu-v1-global-model
2026-03-01 20:43:06, IPM5007, STOLEN, 0.57, cct-xs-relu-v1-global-model
2026-03-01 20:43:07, IPM5007, STOLEN, 0.57, cct-xs-relu-v1-global-model
2026-03-01 21:05:48, ANH4981, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-03-01 21:05:49, ANH4981, CLEAN, 0.78, cct-xs-relu-v1-global-model
2026-03-01 21:28:29, ANH4981, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:28:31, ANH4981, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:28:32, ANH4981, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-03-01 21:28:39, KNA486, WANTED, 0.79, cct-xs-relu-v1-global-model
2026-03-01 21:28:41, KNA486, WANTED, 0.79, cct-xs-relu-v1-global-model
2026-03-01 21:28:51, IBH9920, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:28:53, IBH9920, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:34:41, IBH9920, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-03-01 21:34:43, IBH9920, CLEAN, 0.75, cct-xs-relu-v1-global-model
2026-03-01 21:34:44, IBH9920, CLEAN, 0.74, cct-xs-relu-v1-global-model
2026-03-01 21:34:54, KNA486, WANTED, 0.75, cct-xs-relu-v1-global-model
2026-03-01 21:34:55, KNA486, WANTED, 0.78, cct-xs-relu-v1-global-model
2026-03-01 21:35:08, IPM5007, STOLEN, 0.56, cct-xs-relu-v1-global-model
2026-03-01 21:35:13, IPM5007, STOLEN, 0.72, cct-xs-relu-v1-global-model
2026-03-01 21:35:14, IPM5007, STOLEN, 0.72, cct-xs-relu-v1-global-model
2026-03-01 21:35:21, ANH4981, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:35:23, ANH4981, CLEAN, 0.82, cct-xs-relu-v1-global-model
2026-03-01 21:37:46, ANH4981, CLEAN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:37:47, ANH4941, CLEAN, 0.80, cct-xs-relu-v1-global-model
2026-03-01 21:37:55, KNA486, WANTED, 0.82, cct-xs-relu-v1-global-model
2026-03-01 21:37:57, KNA486, WANTED, 0.81, cct-xs-relu-v1-global-model
2026-03-01 21:38:02, IBH9920, CLEAN, 0.73, cct-xs-relu-v1-global-model
2026-03-01 21:38:11, IPM5007, STOLEN, 0.74, cct-xs-relu-v1-global-model
2026-03-01 22:33:43, ANH4981, STOLEN, 0.80, cct-xs-relu-v1-global-model
2026-03-01 22:33:44, ANH4981, STOLEN, 0.81, cct-xs-relu-v1-global-model
2026-03-01 22:33:51, KNA486, WANTED, 0.71, cct-xs-relu-v1-global-model
2026-03-01 22:33:53, KNA486, WANTED, 0.69, cct-xs-relu-v1-global-model
2026-03-01 22:33:58, IBH9920, CLEAN, 0.76, cct-xs-relu-v1-global-model
2026-03-01 22:34:09, IPM5007, STOLEN, 0.62, cct-xs-relu-v1-global-model
2026-03-01 22:34:11, IPM5007, STOLEN, 0.64, cct-xs-relu-v1-global-model
2026-03-01 23:31:50, ANH4981, STOLEN, 0.82, cct-xs-relu-v1-global-model
2026-03-01 23:32:01, IEE2832, CLEAN, 0.78, cct-xs-relu-v1-global-model
2026-03-01 23:32:03, IEE2832, CLEAN, 0.78, cct-xs-relu-v1-global-model
2026-03-01 23:32:09, IBH9920, CLEAN, 0.59, cct-xs-relu-v1-global-model
